,Player,Match_played,Starts,Minutes_played,Gls,Ast,Shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,non_penalty_goals,penalty_goal,CrdY,CrdR,pass_comp,pass_attempt,pass_comp%,tackles_made,successful_tackles,Blocks,interceptions,clearence,Err,Touches,successful_dribbles,dribbles_attempted,successful_dribbles%,fouls_commited,fouls_drawn,offside,crosses,penalty_kick_won,penalty_kick_conceded,own_goal,aerial_duo_won,aerial_duo_lost,Pos,Age,Club_country,Club,Team
268,Michel Aebischer,1,0,16,0,0,0,0,,,0,0,0,0,2,4,50,0,0,0,0,0,0,4,0,0,,0,0,0,0,0,0,0,1,0,"MF,FW",25,it,Bologna,Switzerland
269,Christian Fassnacht,1,0,8,0,0,1,1,0,0,0,0,0,0,7,10,70,0,0,0,0,1,0,12,2,2,100,0,0,0,0,0,0,0,0,0,FW,28,ch,Young Boys,Switzerland
270,Ardon Jasari,1,0,2,0,0,0,0,,,0,0,0,0,5,6,83.3,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,FW,19,ch,Luzern,Switzerland
271,Rodri,4,4,390,0,0,1,0,0,,0,0,0,0,642,689,93.2,5,2,3,3,9,0,711,0,0,,5,1,0,2,0,0,0,16,5,DF,25,eng,Manchester City,Spain
272,Unai Simón,4,4,390,0,0,0,0,,,0,0,0,0,150,160,93.8,0,0,0,0,2,3,167,0,0,,0,0,0,0,0,0,0,2,0,GK,25,es,Athletic Club,Spain
273,Dani Olmo,4,4,367,1,1,12,6,0.08,0.17,1,0,0,0,162,198,81.8,5,3,5,1,4,0,259,4,19,21.1,5,6,2,10,0,0,0,0,4,FW,24,de,RB Leipzig,Spain
274,Sergio Busquets,4,4,363,0,0,2,0,0,,0,0,1,0,261,289,90.3,7,4,2,1,1,0,310,1,1,100,3,3,0,0,0,0,0,8,5,MF,33,es,Barcelona,Spain
275,Pedri,4,4,356,0,0,0,0,,,0,0,0,0,393,434,90.6,4,2,5,4,3,0,468,6,11,54.5,2,3,0,2,0,0,0,2,0,MF,19,es,Barcelona,Spain
276,Gavi,4,4,284,1,0,1,1,1,1,1,0,0,0,133,154,86.4,8,4,3,1,2,0,185,3,7,42.9,9,14,0,4,0,0,0,2,5,MF,17,es,Barcelona,Spain
277,Aymeric Laporte,3,3,300,0,0,1,0,0,,0,0,1,0,413,438,94.3,2,0,0,3,7,0,455,0,0,,3,2,0,0,0,0,0,5,3,DF,28,eng,Manchester City,Spain
278,Jordi Alba,4,3,264,0,2,2,0,0,,0,0,0,0,328,372,88.2,6,4,2,3,2,0,395,2,3,66.7,4,3,1,14,1,0,0,0,2,DF,33,es,Barcelona,Spain
279,Marco Asensio,4,3,229,1,0,10,2,0.1,0.5,1,0,0,0,89,119,74.8,1,1,1,0,0,0,148,0,3,0,3,3,0,8,0,0,0,0,2,FW,26,es,Real Madrid,Spain
280,Ferrán Torres,4,3,217,2,0,3,1,0.33,1,1,1,0,0,59,85,69.4,0,0,1,0,0,0,117,1,11,9.1,1,5,2,9,0,0,0,0,3,FW,22,es,Barcelona,Spain
281,César Azpilicueta,2,2,135,0,1,0,0,,,0,0,0,0,171,181,94.5,1,0,2,1,0,0,186,0,0,,2,0,0,3,0,0,0,2,2,DF,32,eng,Chelsea,Spain
282,Álvaro Morata,4,1,185,3,1,8,5,0.38,0.6,3,0,0,0,28,41,68.3,1,1,2,0,2,0,60,1,3,33.3,1,2,5,0,0,0,0,1,0,FW,29,es,Atlético Madrid,Spain
283,Nico Williams,4,1,146,0,0,1,0,0,,0,0,0,0,50,63,79.4,4,2,2,0,0,0,90,5,16,31.3,0,1,1,6,0,0,0,1,2,FW,19,es,Athletic Club,Spain
284,Dani Carvajal,2,1,135,0,0,0,0,,,0,0,0,0,121,135,89.6,1,1,0,2,1,0,139,0,0,,0,1,0,0,0,0,0,0,1,DF,30,es,Real Madrid,Spain
285,Alejandro Balde,4,1,126,0,0,1,0,0,,0,0,0,0,112,123,91.1,6,6,2,0,2,0,135,0,2,0,2,1,0,2,0,0,0,0,2,DF,18,es,Barcelona,Spain
286,Marcos Llorente,1,1,120,0,0,1,0,0,,0,0,0,0,95,106,89.6,0,0,0,0,0,0,107,0,0,,0,0,0,2,0,0,0,0,1,DF,27,es,Atlético Madrid,Spain
287,Pau Torres,1,1,90,0,0,0,0,,,0,0,0,0,174,191,91.1,0,0,1,0,2,0,194,0,0,,1,0,0,0,0,0,0,1,1,DF,25,es,Villarreal,Spain
288,Carlos Soler,2,0,92,1,0,4,1,0.25,1,1,0,0,0,78,83,94,0,0,0,0,0,0,88,1,2,50,0,1,0,3,0,0,0,0,1,MF,25,fr,Paris S-G,Spain
289,Koke,2,0,52,0,0,0,0,,,0,0,0,0,56,62,90.3,1,1,0,0,0,0,68,0,0,,0,0,0,0,0,0,0,0,0,MF,30,es,Atlético Madrid,Spain
290,Ansu Fati,2,0,46,0,0,0,0,,,0,0,0,0,25,29,86.2,1,1,0,0,0,0,34,0,2,0,0,0,0,1,0,0,0,1,0,FW,19,es,Barcelona,Spain
291,Pablo Sarabia,1,0,3,0,0,1,0,0,,0,0,0,0,2,5,40,0,0,0,0,0,0,6,0,0,,0,0,0,3,0,0,0,0,0,FW,30,fr,Paris S-G,Spain
292,Tyler Adams,4,4,360,0,0,1,0,0,,0,0,1,0,241,271,88.9,11,9,6,4,6,0,308,1,1,100,5,5,0,2,0,0,0,5,2,MF,23,eng,Leeds United,United States
293,Tim Ream,4,4,360,0,0,1,0,0,,0,0,1,0,245,276,88.8,4,3,2,4,12,0,306,2,2,100,1,2,0,0,0,0,0,6,8,DF,34,eng,Fulham,United States
294,Matt Turner,4,4,360,0,0,0,0,,,0,0,0,0,101,128,78.9,0,0,0,0,1,0,136,0,0,,0,4,0,0,0,0,0,0,0,GK,27,eng,Arsenal,United States
295,Antonee Robinson,4,4,359,0,0,0,0,,,0,0,0,0,173,241,71.8,5,4,3,7,8,0,290,4,5,80,2,0,1,21,0,0,0,5,3,DF,24,eng,Fulham,United States
296,Yunus Musah,4,4,343,0,0,4,1,0,0,0,0,0,0,151,182,83,8,6,7,2,1,0,222,4,11,36.4,9,3,0,8,0,0,0,3,3,MF,19,es,Valencia,United States
297,Timothy Weah,4,4,316,1,0,5,3,0.2,0.33,1,0,0,0,90,108,83.3,0,0,5,0,0,0,133,2,2,100,1,1,2,8,0,0,0,2,3,FW,22,fr,Lille,United States
298,Christian Pulisic,4,4,315,1,2,9,5,0.11,0.2,1,0,0,0,83,141,58.9,2,0,2,0,1,0,191,4,15,26.7,2,11,1,31,0,0,0,2,4,"FW,MF",23,eng,Chelsea,United States
299,Sergiño Dest,4,4,305,0,1,6,0,0,,0,0,1,0,172,200,86,4,2,3,2,7,0,253,5,13,38.5,4,2,0,9,0,0,0,1,3,DF,21,it,Milan,United States
300,Weston McKennie,4,4,271,0,0,5,1,0,0,0,0,1,0,117,153,76.5,2,1,4,0,5,0,179,1,2,50,6,2,0,1,0,0,0,3,3,MF,23,it,Juventus,United States
301,Walker Zimmerman,4,3,279,0,0,1,0,0,,0,0,0,0,217,244,88.9,3,2,4,4,15,0,275,0,0,,3,0,0,0,0,1,0,8,5,DF,29,us,Nashville,United States
302,Josh Sargent,3,2,157,0,0,4,1,0,0,0,0,0,0,29,33,87.9,0,0,1,1,0,0,48,2,2,100,2,0,0,1,0,0,0,3,6,FW,22,eng,Norwich City,United States
303,Haji Wright,4,1,137,1,0,6,2,0.17,0.5,1,0,0,0,20,27,74.1,2,0,0,0,1,0,45,0,1,0,1,3,1,1,0,0,0,6,7,FW,24,tr,Antalyaspor,United States
304,Cameron Carter-Vickers,1,1,90,0,0,0,0,,,0,0,0,0,50,58,86.2,0,0,1,0,4,0,64,0,0,,0,1,0,0,0,0,0,4,4,DF,24,sct,Celtic,United States
305,Jesús Ferreira,1,1,45,0,0,0,0,,,0,0,0,0,16,19,84.2,1,0,0,0,0,0,24,0,1,0,0,1,0,0,0,0,0,0,0,FW,21,us,FC Dallas,United States
306,Brenden Aaronson,4,0,108,0,0,1,0,0,,0,0,0,0,41,50,82,3,2,5,1,0,0,80,2,11,18.2,3,3,0,3,0,0,0,0,1,MF,21,eng,Leeds United,United States
307,Gio Reyna,2,0,53,0,0,2,0,0,,0,0,0,0,26,38,68.4,0,0,1,0,0,0,42,0,0,,0,2,0,2,0,0,0,2,0,FW,19,de,Dortmund,United States
308,Kellyn Acosta,2,0,43,0,0,0,0,,,0,0,1,0,10,12,83.3,3,2,0,0,0,0,16,0,0,,1,0,0,0,0,0,0,1,0,MF,26,us,Los Angeles FC,United States
309,DeAndre Yedlin,2,0,33,0,0,0,0,,,0,0,0,0,19,28,67.9,2,1,0,0,2,0,32,0,0,,2,0,0,4,0,0,0,1,0,DF,28,us,Inter Miami,United States
310,Shaquell Moore,2,0,22,0,0,0,0,,,0,0,0,0,14,21,66.7,2,2,0,0,3,0,27,0,0,,3,0,0,0,0,0,0,1,0,DF,25,us,Nashville,United States
311,Jordan Morris,2,0,4,0,0,0,0,,,0,0,0,0,1,4,25,0,0,0,0,0,0,5,0,0,,0,0,0,2,0,0,0,0,1,"FW,DF",27,us,Seattle,United States
312,Matty Cash,4,4,360,0,0,1,0,0,,0,0,2,0,123,160,76.9,4,3,7,0,17,0,199,1,4,25,7,3,0,9,0,0,0,2,1,DF,24,eng,Aston Villa,Poland
313,Kamil Glik,4,4,360,0,0,3,0,0,,0,0,0,0,118,130,90.8,2,1,2,3,23,0,168,0,0,,2,0,0,0,0,0,0,4,3,DF,34,it,Benevento,Poland
314,Robert Lewandowski,4,4,360,2,1,10,2,0.1,0.5,1,1,0,0,61,91,67,2,2,3,1,8,0,153,5,12,41.7,6,9,0,3,1,0,0,16,17,FW,33,es,Barcelona,Poland
315,Wojciech Szczęsny,4,4,360,0,0,0,0,,,0,0,0,0,84,142,59.2,0,0,0,0,4,0,160,0,0,,1,1,0,0,0,1,0,2,0,GK,32,it,Juventus,Poland
316,Jakub Kiwior,4,4,355,0,0,1,0,0,,0,0,1,0,174,205,84.9,2,1,4,4,15,2,235,0,0,,1,0,0,0,0,0,0,3,4,DF,22,it,Spezia,Poland
317,Bartosz Bereszyński,4,4,341,0,0,0,0,,,0,0,1,0,122,156,78.2,6,2,4,2,17,0,200,1,7,14.3,5,3,0,4,0,0,0,4,2,DF,29,it,Sampdoria,Poland
318,Grzegorz Krychowiak,4,4,332,0,0,1,0,0,,0,0,1,0,93,127,73.2,9,4,5,5,4,0,164,1,3,33.3,6,7,0,1,0,0,0,4,3,MF,32,sa,Al-Shabab,Poland
319,Piotr Zieliński,4,4,328,1,0,3,2,0.33,0.5,1,0,0,0,124,153,81,7,5,1,1,7,0,179,1,4,25,4,2,0,16,0,0,0,0,2,"MF,FW",28,it,Napoli,Poland
320,Przemysław Frankowski,4,3,240,0,0,1,0,0,,0,0,1,0,49,74,66.2,7,4,1,3,5,0,99,2,4,50,1,5,0,8,0,0,0,1,1,MF,27,fr,Lens,Poland
321,Jakub Kamiński,4,2,233,0,0,4,1,0,0,0,0,0,0,37,61,60.7,6,1,4,0,2,0,93,2,5,40,5,2,0,4,0,0,0,0,5,MF,20,de,Wolfsburg,Poland
322,Krystian Bielik,4,2,216,0,0,2,0,0,,0,0,0,0,86,99,86.9,5,3,1,5,6,0,130,1,3,33.3,5,4,0,0,0,1,0,6,4,MF,24,eng,Derby County,Poland
323,Sebastian Szymański,2,2,134,0,0,0,0,,,0,0,0,0,26,41,63.4,6,3,4,2,1,0,61,1,3,33.3,1,3,0,3,0,0,0,1,5,MF,23,nl,Feyenoord,Poland
324,Arkadiusz Milik,3,1,101,0,0,1,0,0,,0,0,1,0,19,29,65.5,0,0,1,0,0,0,40,1,1,100,1,2,1,0,0,0,0,4,5,"FW,MF",28,it,Juventus,Poland
325,Nicola Zalewski,2,1,65,0,0,0,0,,,0,0,0,0,15,17,88.2,4,0,1,0,0,0,29,0,2,0,1,2,0,1,0,0,0,0,1,MF,20,it,Roma,Poland
326,Karol Świderski,1,1,45,0,0,0,0,,,0,0,0,0,7,7,100,4,1,0,2,0,0,15,0,0,,0,1,0,0,0,0,0,1,1,FW,25,us,Charlotte,Poland
327,Michał Skóraś,1,0,45,0,0,1,0,0,,0,0,0,0,8,9,88.9,0,0,1,1,0,0,12,0,1,0,1,2,0,0,0,0,0,1,0,MF,22,pl,Lech Poznań,Poland
328,Damian Szymański,1,0,29,0,0,0,0,,,0,0,0,0,8,8,100,0,0,0,1,0,0,9,0,0,,0,0,0,0,0,0,0,0,0,MF,26,gr,AEK Athens,Poland
329,Krzysztof Piątek,2,0,28,0,0,1,0,0,,0,0,0,0,2,6,33.3,0,0,0,0,0,0,9,0,0,,0,1,0,0,0,0,0,2,6,FW,26,it,Salernitana,Poland
330,Artur Jędrzejczyk,1,0,19,0,0,0,0,,,0,0,0,0,3,4,75,0,0,0,0,1,0,5,0,0,,0,0,0,0,0,0,0,0,0,DF,34,pl,Legia Warsaw,Poland
331,Jan Bednarek,1,0,5,0,0,0,0,,,0,0,0,0,6,6,100,0,0,0,0,0,0,6,0,0,,0,0,0,0,0,0,0,0,0,DF,26,eng,Aston Villa,Poland
332,Kamil Grosicki,1,0,4,0,0,0,0,,,0,0,0,0,4,6,66.7,0,0,0,0,0,0,6,1,1,100,0,0,0,3,0,0,0,0,0,MF,34,pl,Pogoń Szczecin,Poland
333,Son Heung-min,4,4,360,0,1,9,3,0,0,0,0,0,0,77,115,67,5,2,2,2,0,1,165,3,15,20,1,6,2,21,0,0,0,0,2,"FW,MF",29,eng,Tottenham,Korea Republic
334,Kim Moonhwan,4,4,360,0,0,0,0,,,0,0,0,0,201,242,83.1,9,4,3,4,16,0,293,2,4,50,1,0,0,15,0,0,0,6,3,DF,26,kr,Jeonbuk,Korea Republic
335,Kim Seung-gyu,4,4,360,0,0,0,0,,,0,0,0,0,93,128,72.7,0,0,0,2,2,0,139,0,0,,0,0,0,0,0,0,0,0,2,GK,31,sa,Al-Shabab,Korea Republic
336,Kim Young-gwon,4,4,350,1,0,2,1,0.5,1,1,0,1,0,178,209,85.2,3,2,3,3,11,0,233,0,0,,1,2,0,1,0,0,0,6,2,DF,32,kr,Ulsan Hyundai,Korea Republic
337,Hwang In-beom,4,4,334,0,0,6,1,0,0,0,0,0,0,194,247,78.5,4,3,1,3,2,0,275,0,5,0,7,3,0,6,0,0,0,2,5,MF,25,gr,Olympiacos,Korea Republic
338,Kim Jin-su,4,4,315,0,1,4,0,0,,0,0,0,0,105,146,71.9,10,5,2,3,5,0,177,0,2,0,1,6,1,16,0,0,0,10,4,DF,30,kr,Jeonbuk,Korea Republic
339,Jung Woo-young,4,4,303,0,0,1,0,0,,0,0,2,0,178,211,84.4,5,4,3,3,7,0,241,0,0,,11,0,0,1,0,1,0,6,2,MF,32,qa,Al Sadd SC,Korea Republic
340,Cho Guesung,4,3,275,2,0,9,5,0.22,0.4,2,0,1,0,40,63,63.5,0,0,3,0,3,0,90,0,5,0,7,6,4,1,0,0,0,21,12,FW,24,kr,Jeonbuk,Korea Republic
341,Kim Min-jae,3,3,269,0,0,2,0,0,,0,0,0,0,167,191,87.4,2,1,5,2,8,0,213,1,1,100,0,0,0,1,0,0,0,10,1,DF,25,it,Napoli,Korea Republic
342,Lee Jae-sung,3,3,211,0,0,1,0,0,,0,0,0,0,84,97,86.6,5,2,3,3,2,0,115,2,3,66.7,2,1,0,1,0,0,0,3,4,"MF,FW",29,de,Mainz 05,Korea Republic
343,Lee Kangin,4,1,147,0,1,5,1,0,0,0,0,1,0,62,77,80.5,4,3,0,0,0,0,92,1,2,50,2,4,0,12,0,0,0,0,1,"MF,FW",21,es,Mallorca,Korea Republic
344,Na Sang-ho,2,1,119,0,0,1,1,0,0,0,0,0,0,24,37,64.9,4,1,0,0,2,0,60,0,4,0,2,0,0,8,0,0,0,3,3,FW,25,kr,FC Seoul,Korea Republic
345,Hwang Hee-chan,2,1,115,1,0,6,5,0.17,0.2,1,0,1,0,45,59,76.3,1,1,0,0,0,0,83,3,10,30,3,3,0,3,0,0,0,0,1,"MF,FW",26,eng,Wolves,Korea Republic
346,Hwang Ui-jo,4,1,106,0,0,1,0,0,,0,0,0,0,9,11,81.8,0,0,0,0,1,0,18,1,1,100,0,0,0,0,0,0,0,1,12,"FW,MF",29,gr,Olympiacos,Korea Republic
347,Kwon Kyung-won,2,1,91,0,0,1,0,0,,0,0,0,0,39,43,90.7,0,0,1,2,5,0,54,0,0,,0,3,0,0,0,0,0,2,2,DF,30,jp,Gamba Osaka,Korea Republic
348,Kwon Chang-hoon,1,1,56,0,0,0,0,,,0,0,0,0,19,25,76,1,0,0,0,0,0,28,0,0,,0,0,0,3,0,0,0,0,2,"FW,MF",27,kr,Sangju Sangmu,Korea Republic
349,Jeong Woo-yeong,1,1,45,0,0,1,0,0,,0,0,0,0,12,15,80,0,0,0,0,1,0,20,0,1,0,1,0,0,1,0,0,0,0,0,MF,22,de,Freiburg,Korea Republic
350,Son Jun-ho,3,0,72,0,0,0,0,,,0,0,0,0,55,59,93.2,3,3,3,3,0,0,68,0,0,,5,0,0,0,0,0,0,0,1,"MF,DF",30,cn,Shandong Lunen,Korea Republic
351,Hong Chul,1,0,45,0,0,0,0,,,0,0,0,0,17,20,85,0,0,2,1,1,0,25,0,1,0,0,0,0,2,0,0,0,1,0,DF,31,kr,Daegu,Korea Republic
352,Paik Seung-ho,1,0,26,1,0,1,1,1,1,1,0,0,0,20,27,74.1,3,2,0,0,0,0,31,0,0,,1,0,0,0,0,0,0,1,0,MF,25,kr,Jeonbuk,Korea Republic
353,Cho Yumin,1,0,1,0,0,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,FW,25,kr,Daejeon Citizen FC,Korea Republic
354,Joshua Kimmich,3,3,270,0,0,7,4,0,0,0,0,1,0,226,267,84.6,5,2,6,3,1,0,302,1,4,25,2,2,0,21,0,0,0,4,1,"MF,DF",27,de,Bayern Munich,Germany
355,Manuel Neuer,3,3,270,0,0,0,0,,,0,0,0,0,115,127,90.6,0,0,0,0,0,2,133,0,0,,0,0,0,0,0,0,0,0,0,GK,36,de,Bayern Munich,Germany
356,Antonio Rüdiger,3,3,270,0,0,6,1,0,0,0,0,0,0,229,252,90.9,2,1,3,0,5,1,272,0,1,0,0,3,1,0,0,0,0,6,1,DF,29,es,Real Madrid,Germany
357,Niklas Süle,3,3,269,0,0,1,0,0,,0,0,0,0,231,255,90.6,5,4,1,0,7,0,267,0,0,,0,2,0,1,0,0,0,6,3,DF,26,de,Dortmund,Germany
358,Serge Gnabry,3,3,263,1,1,12,4,0.08,0.25,1,0,0,0,86,118,72.9,5,2,2,2,3,0,151,3,5,60,2,2,3,7,0,0,0,0,2,"FW,MF",26,de,Bayern Munich,Germany
359,Jamal Musiala,3,3,258,0,1,12,3,0,0,0,0,0,0,85,105,81,1,1,3,1,0,0,165,19,36,52.8,1,6,1,1,0,0,0,1,2,"MF,FW",19,de,Bayern Munich,Germany
360,David Raum,3,3,242,0,1,0,0,,,0,0,0,0,153,195,78.5,6,3,10,7,2,0,232,2,4,50,5,3,1,24,1,0,0,5,3,DF,24,de,RB Leipzig,Germany
361,Thomas Müller,3,3,201,0,0,3,0,0,,0,0,0,0,56,78,71.8,2,2,4,1,0,0,91,0,0,,0,1,2,5,0,0,0,1,7,"FW,MF",32,de,Bayern Munich,Germany
362,İlkay Gündoğan,3,3,189,1,0,5,2,0,0,0,1,0,0,150,168,89.3,3,1,2,1,1,0,188,2,2,100,3,2,1,1,0,0,0,3,2,MF,31,eng,Manchester City,Germany
363,Leon Goretzka,3,2,159,0,0,4,1,0,0,0,0,1,0,42,57,73.7,5,3,1,1,0,0,72,0,0,,4,3,0,1,0,0,0,3,2,MF,27,de,Bayern Munich,Germany
364,Leroy Sané,2,1,111,0,1,3,0,0,,0,0,0,0,47,58,81,1,1,2,0,1,0,67,3,6,50,0,0,0,2,0,0,0,1,1,"FW,DF",26,de,Bayern Munich,Germany
365,Kai Havertz,2,1,102,2,0,5,3,0.4,0.67,2,0,0,0,27,34,79.4,1,1,0,1,0,0,45,0,0,,3,0,3,2,0,0,0,0,2,FW,23,eng,Chelsea,Germany
366,Nico Schlotterbeck,2,1,94,0,0,0,0,,,0,0,0,0,110,123,89.4,4,3,2,1,1,0,135,0,2,0,1,1,0,0,0,0,0,2,0,DF,22,de,Dortmund,Germany
367,Thilo Kehrer,1,1,69,0,0,0,0,,,0,0,1,0,22,29,75.9,6,2,1,3,2,0,43,0,0,,3,0,0,0,0,0,0,0,0,DF,25,eng,West Ham,Germany
368,Niclas Füllkrug,3,0,69,2,1,8,3,0.25,0.67,2,0,0,0,15,24,62.5,0,0,0,0,0,0,38,1,1,100,0,1,0,0,0,0,0,4,5,FW,29,de,Werder Bremen,Germany
369,Lukas Klostermann,2,0,66,0,0,0,0,,,0,0,0,0,51,52,98.1,3,1,0,0,1,0,57,0,0,,1,0,0,0,0,0,0,0,0,DF,26,de,RB Leipzig,Germany
370,Mario Götze,2,0,36,0,0,1,1,0,0,0,0,0,0,21,23,91.3,1,0,2,0,0,0,30,0,2,0,0,1,0,2,0,0,0,0,0,MF,30,de,Eint Frankfurt,Germany
371,Jonas Hofmann,2,0,30,0,0,1,1,0,0,0,0,0,0,16,20,80,0,0,2,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,1,FW,29,de,M'Gladbach,Germany
372,Matthias Ginter,1,0,1,0,0,0,0,,,0,0,0,0,3,3,100,0,0,0,0,0,0,3,0,0,,1,0,0,0,0,0,0,0,1,DF,28,de,Freiburg,Germany
373,Youssoufa Moukoko,1,0,1,0,0,0,0,,,0,0,0,0,1,2,50,0,0,0,0,0,0,2,0,0,,0,0,0,1,0,0,0,0,0,FW,17,de,Dortmund,Germany
374,Pervis Estupiñán,3,3,270,0,0,1,1,0,0,0,0,0,0,148,190,77.9,6,3,4,3,6,0,222,2,8,25,8,3,2,19,0,0,0,3,3,DF,24,eng,Brighton,Ecuador
375,Hernán Galíndez,3,3,270,0,0,0,0,,,0,0,0,0,44,74,59.5,0,0,0,0,0,0,76,0,0,,0,0,0,0,0,0,0,2,0,GK,35,ec,SD Aucas,Ecuador
376,Piero Hincapié,3,3,270,0,0,0,0,,,0,0,0,0,168,200,84,7,4,2,2,9,0,227,0,0,,5,1,0,1,0,1,0,5,3,DF,20,de,Leverkusen,Ecuador
377,Félix Torres Caicedo,3,3,270,0,1,1,0,0,,0,0,0,0,168,208,80.8,2,2,3,4,10,0,233,0,1,0,1,0,0,0,0,0,0,9,4,DF,25,mx,Santos,Ecuador
378,Moisés Caicedo,3,3,269,1,0,3,1,0.33,1,1,0,1,0,126,153,82.4,6,5,4,2,2,1,174,0,0,,4,5,0,0,0,0,0,1,1,MF,20,eng,Brighton,Ecuador
379,Gonzalo Plata,3,3,269,0,0,2,1,0,0,0,0,0,0,77,104,74,3,2,3,2,0,0,133,4,12,33.3,4,6,0,17,0,0,0,5,6,"MF,FW",21,es,Valladolid,Ecuador
380,Ángelo Preciado,3,3,264,0,1,4,0,0,,0,0,0,0,94,129,72.9,7,5,2,6,4,0,160,0,4,0,8,2,0,8,0,0,0,3,2,DF,24,be,Genk,Ecuador
381,Enner Valencia,3,3,255,3,0,8,3,0.25,0.67,2,1,0,0,40,57,70.2,2,0,3,1,2,0,99,2,7,28.6,3,7,2,3,1,0,0,2,8,"FW,MF",32,tr,Fenerbahçe,Ecuador
382,Michael Estrada,3,3,225,0,0,3,0,0,,0,0,0,0,28,50,56,1,0,4,0,0,0,71,2,3,66.7,6,7,2,0,0,0,0,13,14,FW,26,mx,Cruz Azul,Ecuador
383,Jhegson Méndez,2,2,180,0,0,0,0,,,0,0,2,0,128,140,91.4,2,2,4,1,1,0,149,0,1,0,3,2,0,2,0,0,0,2,2,MF,25,us,Los Angeles FC,Ecuador
384,Jackson Porozo,2,1,96,0,0,1,0,0,,0,0,0,0,39,44,88.6,2,2,1,3,4,0,58,0,0,,1,2,1,0,0,0,0,1,0,DF,21,fr,Troyes,Ecuador
385,Romario Ibarra,2,1,68,0,0,2,1,0,0,0,0,0,0,10,14,71.4,0,0,1,1,2,0,23,1,1,100,0,0,0,0,0,0,0,0,1,MF,27,mx,Pachuca,Ecuador
386,Alan Franco,2,1,46,0,0,0,0,,,0,0,0,0,10,11,90.9,1,0,0,2,1,0,16,0,0,,0,0,0,0,0,0,0,1,1,MF,23,ar,Talleres,Ecuador
387,Carlos Gruezo,1,1,45,0,0,0,0,,,0,0,0,0,15,15,100,2,2,0,0,0,0,19,0,0,,0,0,0,0,0,0,0,0,1,MF,27,de,Augsburg,Ecuador
388,Jeremy Sarmiento,3,0,85,0,0,1,1,0,0,0,0,0,0,23,37,62.2,2,1,0,1,0,0,45,2,6,33.3,2,2,1,5,0,0,0,2,1,"MF,FW",19,eng,Brighton,Ecuador
389,José Cifuentes,2,0,59,0,0,1,1,0,0,0,0,0,0,33,44,75,2,2,1,0,1,0,53,0,0,,3,0,0,2,0,0,0,0,0,MF,23,us,Los Angeles FC,Ecuador
390,Djorkaeff Reasco,1,0,27,0,0,0,0,,,0,0,0,0,2,2,100,0,0,0,0,0,0,3,0,0,,1,0,0,0,0,0,0,0,0,FW,23,ar,Newell's OB,Ecuador
391,Kevin Rodríguez,2,0,2,0,0,2,1,0,0,0,0,0,0,,,,,0,,0,,,,,,,1,0,0,0,,,0,,,FW,22,,,Ecuador
392,Collins Fai,3,3,270,0,0,1,0,0,,0,0,2,0,99,146,67.8,5,2,2,4,7,0,169,0,2,0,4,4,0,13,0,0,0,1,1,DF,29,sa,Al-Ta'ee,Cameroon
393,Nouhou Tolo,3,3,270,0,0,0,0,,,0,0,1,0,83,109,76.1,8,5,5,6,10,0,148,1,5,20,3,1,0,7,0,0,0,4,3,DF,24,us,Seattle,Cameroon
394,Andre-Frank Zambo Anguissa,3,3,260,0,1,1,1,0,0,0,0,0,0,113,130,86.9,4,0,2,5,2,0,158,4,5,80,6,4,0,2,0,0,0,4,0,MF,26,it,Napoli,Cameroon
395,Eric Maxim Choupo-Moting,3,3,253,1,0,3,2,0.33,0.5,1,0,0,0,44,66,66.7,4,2,0,1,1,0,88,3,8,37.5,0,1,1,0,0,0,0,11,6,"FW,MF",33,de,Bayern Munich,Cameroon
396,Bryan Mbeumo,3,3,233,0,0,2,2,0,0,0,0,0,0,49,85,57.6,0,0,1,1,2,0,107,1,7,14.3,1,8,0,12,0,0,0,5,9,"FW,MF",22,eng,Brentford,Cameroon
397,Jean-Charles Castelletto,2,2,180,1,1,1,1,1,1,1,0,0,0,66,82,80.5,3,3,2,6,12,0,109,1,1,100,1,1,0,3,0,0,0,3,1,DF,27,fr,Nantes,Cameroon
398,Devis Epassy,2,2,180,0,0,0,0,,,0,0,0,0,57,83,68.7,0,0,0,0,2,0,92,0,0,,0,1,0,0,0,0,0,2,0,GK,29,sa,Abha,Cameroon
399,Nicolas Nkoulou,2,2,180,0,1,3,1,0,0,0,0,1,0,79,91,86.8,2,0,2,5,8,1,115,0,0,,2,2,0,0,0,0,0,2,4,DF,32,gr,Aris,Cameroon
400,Karl Toko Ekambi,3,2,166,0,0,2,1,0,0,0,0,0,0,43,53,81.1,1,1,1,2,0,0,68,1,4,25,0,3,0,3,0,0,0,1,4,"FW,MF",29,fr,Lyon,Cameroon
401,Pierre Kunde,2,2,131,0,0,5,2,0,0,0,0,1,0,38,49,77.6,4,2,0,4,4,0,71,0,1,0,3,1,0,4,0,0,0,1,0,MF,26,gr,Olympiacos,Cameroon
402,Martin Hongla,2,2,121,0,0,1,1,0,0,0,0,0,0,49,61,80.3,0,0,2,2,3,0,73,2,3,66.7,1,1,1,1,0,0,0,1,0,MF,24,it,Hellas Verona,Cameroon
